notch,srg,mcp
aue/b,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$Feature/field_74937_b,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$Feature/scatteredFeatureSizeY
aue/d,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$Feature/field_74936_d,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$Feature/field_74936_d
aue/a,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$Feature/field_74939_a,net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces$Feature/scatteredFeatureSizeX
blv/c,net/minecraft/client/renderer/EntityRenderer$2/field_90025_c,net/minecraft/client/renderer/EntityRenderer$2/theEntityRenderer
ats/a,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Piece/field_111019_a,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Piece/field_111019_a
aib/c,net/minecraft/world/biome/WorldChunkManager/field_76944_d,net/minecraft/world/biome/WorldChunkManager/genBiomes
aib/d,net/minecraft/world/biome/WorldChunkManager/field_76945_e,net/minecraft/world/biome/WorldChunkManager/biomeIndexLayer
vc/a,net/minecraft/entity/ai/EntityAIWander/field_75457_a,net/minecraft/entity/ai/EntityAIWander/entity
bks/a,net/minecraft/client/particle/EntityCloudFX/field_70569_a,net/minecraft/client/particle/EntityCloudFX/field_70569_a
aib/e,net/minecraft/world/biome/WorldChunkManager/field_76942_f,net/minecraft/world/biome/WorldChunkManager/biomeCache
kc/a,net/minecraft/network/ServerStatusResponse$PlayerCountData/field_151336_a,net/minecraft/network/ServerStatusResponse$PlayerCountData/field_151336_a
aib/f,net/minecraft/world/biome/WorldChunkManager/field_76943_g,net/minecraft/world/biome/WorldChunkManager/biomesToSpawnIn
kc/b,net/minecraft/network/ServerStatusResponse$PlayerCountData/field_151334_b,net/minecraft/network/ServerStatusResponse$PlayerCountData/field_151334_b
kc/c,net/minecraft/network/ServerStatusResponse$PlayerCountData/field_151335_c,net/minecraft/network/ServerStatusResponse$PlayerCountData/field_151335_c
vt/e,net/minecraft/entity/ai/EntityAIOwnerHurtTarget/field_142050_e,net/minecraft/entity/ai/EntityAIOwnerHurtTarget/field_142050_e
vt/b,net/minecraft/entity/ai/EntityAIOwnerHurtTarget/field_75313_b,net/minecraft/entity/ai/EntityAIOwnerHurtTarget/theTarget
vt/a,net/minecraft/entity/ai/EntityAIOwnerHurtTarget/field_75314_a,net/minecraft/entity/ai/EntityAIOwnerHurtTarget/theEntityTameable
ahp/d,net/minecraft/world/Teleporter/field_85190_d,net/minecraft/world/Teleporter/destinationCoordinateKeys
ahp/c,net/minecraft/world/Teleporter/field_85191_c,net/minecraft/world/Teleporter/destinationCoordinateCache
ahp/b,net/minecraft/world/Teleporter/field_77187_a,net/minecraft/world/Teleporter/random
ahp/a,net/minecraft/world/Teleporter/field_85192_a,net/minecraft/world/Teleporter/worldServerInstance
uq/i,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_151497_i,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_151497_i
uq/j,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_151495_j,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_151495_j
uq/g,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_75444_h,net/minecraft/entity/ai/EntityAIAttackOnCollide/classTarget
uq/h,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_75445_i,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_75445_i
uq/e,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_75437_f,net/minecraft/entity/ai/EntityAIAttackOnCollide/longMemory
uq/f,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_75438_g,net/minecraft/entity/ai/EntityAIAttackOnCollide/entityPathEntity
uq/c,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_75439_d,net/minecraft/entity/ai/EntityAIAttackOnCollide/attackTick
uq/d,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_75440_e,net/minecraft/entity/ai/EntityAIAttackOnCollide/speedTowardsTarget
uq/k,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_151496_k,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_151496_k
uq/a,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_75443_a,net/minecraft/entity/ai/EntityAIAttackOnCollide/worldObj
uq/b,net/minecraft/entity/ai/EntityAIAttackOnCollide/field_75441_b,net/minecraft/entity/ai/EntityAIAttackOnCollide/attacker
avh/a,net/minecraft/world/gen/structure/MapGenStructure$3/field_85161_a,net/minecraft/world/gen/structure/MapGenStructure$3/theMapStructureGenerator
vc/e,net/minecraft/entity/ai/EntityAIWander/field_75454_e,net/minecraft/entity/ai/EntityAIWander/speed
vc/d,net/minecraft/entity/ai/EntityAIWander/field_75453_d,net/minecraft/entity/ai/EntityAIWander/zPosition
vc/c,net/minecraft/entity/ai/EntityAIWander/field_75456_c,net/minecraft/entity/ai/EntityAIWander/yPosition
ajv/a,net/minecraft/block/BlockCarrot/field_149868_a,net/minecraft/block/BlockCarrot/field_149868_a
vc/b,net/minecraft/entity/ai/EntityAIWander/field_75455_b,net/minecraft/entity/ai/EntityAIWander/xPosition
bmy/a,net/minecraft/client/renderer/culling/ClippingHelper/field_78557_a,net/minecraft/client/renderer/culling/ClippingHelper/frustum
bmy/b,net/minecraft/client/renderer/culling/ClippingHelper/field_78555_b,net/minecraft/client/renderer/culling/ClippingHelper/projectionMatrix
bmy/c,net/minecraft/client/renderer/culling/ClippingHelper/field_78556_c,net/minecraft/client/renderer/culling/ClippingHelper/modelviewMatrix
bmy/d,net/minecraft/client/renderer/culling/ClippingHelper/field_78554_d,net/minecraft/client/renderer/culling/ClippingHelper/clippingMatrix
bmh/j,net/minecraft/client/renderer/Tessellator/field_78401_l,net/minecraft/client/renderer/Tessellator/brightness
bmh/k,net/minecraft/client/renderer/Tessellator/field_78402_m,net/minecraft/client/renderer/Tessellator/color
bmh/l,net/minecraft/client/renderer/Tessellator/field_78399_n,net/minecraft/client/renderer/Tessellator/hasColor
bmh/m,net/minecraft/client/renderer/Tessellator/field_78400_o,net/minecraft/client/renderer/Tessellator/hasTexture
bmh/n,net/minecraft/client/renderer/Tessellator/field_78414_p,net/minecraft/client/renderer/Tessellator/hasBrightness
bmh/o,net/minecraft/client/renderer/Tessellator/field_78413_q,net/minecraft/client/renderer/Tessellator/hasNormals
in/a,net/minecraft/network/play/server/S1DPacketEntityEffect/field_149434_a,net/minecraft/network/play/server/S1DPacketEntityEffect/field_149434_a
bmh/p,net/minecraft/client/renderer/Tessellator/field_147569_p,net/minecraft/client/renderer/Tessellator/rawBufferIndex
bmh/q,net/minecraft/client/renderer/Tessellator/field_78411_s,net/minecraft/client/renderer/Tessellator/addedVertices
bmh/b,net/minecraft/client/renderer/Tessellator/field_78394_d,net/minecraft/client/renderer/Tessellator/byteBuffer
in/c,net/minecraft/network/play/server/S1DPacketEntityEffect/field_149433_c,net/minecraft/network/play/server/S1DPacketEntityEffect/field_149433_c
in/b,net/minecraft/network/play/server/S1DPacketEntityEffect/field_149432_b,net/minecraft/network/play/server/S1DPacketEntityEffect/field_149432_b
bmh/c,net/minecraft/client/renderer/Tessellator/field_147568_c,net/minecraft/client/renderer/Tessellator/intBuffer
bmh/d,net/minecraft/client/renderer/Tessellator/field_147566_d,net/minecraft/client/renderer/Tessellator/floatBuffer
bmh/e,net/minecraft/client/renderer/Tessellator/field_147567_e,net/minecraft/client/renderer/Tessellator/shortBuffer
in/d,net/minecraft/network/play/server/S1DPacketEntityEffect/field_149431_d,net/minecraft/network/play/server/S1DPacketEntityEffect/field_149431_d
bmh/f,net/minecraft/client/renderer/Tessellator/field_78405_h,net/minecraft/client/renderer/Tessellator/rawBuffer
bmh/g,net/minecraft/client/renderer/Tessellator/field_78406_i,net/minecraft/client/renderer/Tessellator/vertexCount
bmh/h,net/minecraft/client/renderer/Tessellator/field_78403_j,net/minecraft/client/renderer/Tessellator/textureU
bmh/i,net/minecraft/client/renderer/Tessellator/field_78404_k,net/minecraft/client/renderer/Tessellator/textureV
bmh/a,net/minecraft/client/renderer/Tessellator/field_78398_a,net/minecraft/client/renderer/Tessellator/instance
auv/b,net/minecraft/world/gen/structure/StructureStrongholdPieces$RoomCrossing/field_75014_c,net/minecraft/world/gen/structure/StructureStrongholdPieces$RoomCrossing/strongholdRoomCrossingChestContents
auv/a,net/minecraft/world/gen/structure/StructureStrongholdPieces$RoomCrossing/field_75013_b,net/minecraft/world/gen/structure/StructureStrongholdPieces$RoomCrossing/roomType
aje/a,net/minecraft/block/BlockRailBase/field_150053_a,net/minecraft/block/BlockRailBase/field_150053_a
blv/b,net/minecraft/client/renderer/EntityRenderer$2/field_90024_b,net/minecraft/client/renderer/EntityRenderer$2/field_90024_b
blv/a,net/minecraft/client/renderer/EntityRenderer$2/field_90026_a,net/minecraft/client/renderer/EntityRenderer$2/field_90026_a
bmh/r,net/minecraft/client/renderer/Tessellator/field_78410_t,net/minecraft/client/renderer/Tessellator/isColorDisabled
bmh/s,net/minecraft/client/renderer/Tessellator/field_78409_u,net/minecraft/client/renderer/Tessellator/drawMode
bmh/t,net/minecraft/client/renderer/Tessellator/field_78408_v,net/minecraft/client/renderer/Tessellator/xOffset
bav/a,net/minecraft/client/Minecraft$15/field_152389_a,net/minecraft/client/Minecraft$15/field_152389_a
bmh/u,net/minecraft/client/renderer/Tessellator/field_78407_w,net/minecraft/client/renderer/Tessellator/yOffset
bmh/v,net/minecraft/client/renderer/Tessellator/field_78417_x,net/minecraft/client/renderer/Tessellator/zOffset
bmh/w,net/minecraft/client/renderer/Tessellator/field_78416_y,net/minecraft/client/renderer/Tessellator/normal
bmh/x,net/minecraft/client/renderer/Tessellator/field_78415_z,net/minecraft/client/renderer/Tessellator/isDrawing
net/minecraft/realms/RealmsEditBox/font,net/minecraft/realms/RealmsEditBox/font,net/minecraft/realms/RealmsEditBox/font
bmh/y,net/minecraft/client/renderer/Tessellator/field_78388_E,net/minecraft/client/renderer/Tessellator/bufferSize
awl/a,net/minecraft/world/gen/NoiseGeneratorPerlin/field_151603_a,net/minecraft/world/gen/NoiseGeneratorPerlin/field_151603_a
awl/b,net/minecraft/world/gen/NoiseGeneratorPerlin/field_151602_b,net/minecraft/world/gen/NoiseGeneratorPerlin/field_151602_b
bcl/c,net/minecraft/client/gui/GuiOptionsRowList$Row/field_148324_c,net/minecraft/client/gui/GuiOptionsRowList$Row/field_148324_c
bcl/b,net/minecraft/client/gui/GuiOptionsRowList$Row/field_148323_b,net/minecraft/client/gui/GuiOptionsRowList$Row/field_148323_b
bcl/a,net/minecraft/client/gui/GuiOptionsRowList$Row/field_148325_a,net/minecraft/client/gui/GuiOptionsRowList$Row/field_148325_a
bnl/g,net/minecraft/client/renderer/entity/RenderDragon/field_110843_g,net/minecraft/client/renderer/entity/RenderDragon/enderDragonCrystalBeamTextures
bnl/h,net/minecraft/client/renderer/entity/RenderDragon/field_110845_h,net/minecraft/client/renderer/entity/RenderDragon/enderDragonEyesTextures
bnl/k,net/minecraft/client/renderer/entity/RenderDragon/field_110844_k,net/minecraft/client/renderer/entity/RenderDragon/enderDragonTextures
tn/g,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/field_111133_g,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/needsUpdate
tn/h,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/field_111139_h,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/cachedValue
tn/e,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/field_111135_e,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/mapByUUID
tn/f,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/field_111132_f,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/baseValue
bnl/a,net/minecraft/client/renderer/entity/RenderDragon/field_77084_b,net/minecraft/client/renderer/entity/RenderDragon/modelDragon
akz/a,net/minecraft/block/BlockFence/field_149827_a,net/minecraft/block/BlockFence/field_149827_a
bnl/f,net/minecraft/client/renderer/entity/RenderDragon/field_110842_f,net/minecraft/client/renderer/entity/RenderDragon/enderDragonExplodingTextures
avz/b,net/minecraft/world/gen/structure/StructureVillagePieces$House2/field_74917_c,net/minecraft/world/gen/structure/StructureVillagePieces$House2/hasMadeChest
tn/c,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/field_111137_c,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/mapByOperation
tn/d,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/field_111134_d,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/mapByName
avz/a,net/minecraft/world/gen/structure/StructureVillagePieces$House2/field_74918_a,net/minecraft/world/gen/structure/StructureVillagePieces$House2/villageBlacksmithChestContents
tn/a,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/field_111138_a,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/attributeMap
tn/b,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/field_111136_b,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance/genericAttribute
bbz/e,net/minecraft/client/gui/MapItemRenderer$Instance/field_148241_e,net/minecraft/client/gui/MapItemRenderer$Instance/field_148241_e
aki/b,net/minecraft/block/BlockRailDetector/field_150055_b,net/minecraft/block/BlockRailDetector/field_150055_b
bbz/d,net/minecraft/client/gui/MapItemRenderer$Instance/field_148240_d,net/minecraft/client/gui/MapItemRenderer$Instance/field_148240_d
bbz/c,net/minecraft/client/gui/MapItemRenderer$Instance/field_148243_c,net/minecraft/client/gui/MapItemRenderer$Instance/field_148243_c
bbz/b,net/minecraft/client/gui/MapItemRenderer$Instance/field_148242_b,net/minecraft/client/gui/MapItemRenderer$Instance/field_148242_b
bbz/a,net/minecraft/client/gui/MapItemRenderer$Instance/field_148244_a,net/minecraft/client/gui/MapItemRenderer$Instance/field_148244_a
avi/e,net/minecraft/world/gen/structure/MapGenStructureIO/field_143037_d,net/minecraft/world/gen/structure/MapGenStructureIO/field_143037_d
ajw/M,net/minecraft/block/BlockCauldron/field_150030_M,net/minecraft/block/BlockCauldron/field_150030_M
hk/a,net/minecraft/network/play/server/S39PacketPlayerAbilities/field_149119_a,net/minecraft/network/play/server/S39PacketPlayerAbilities/field_149119_a
avi/c,net/minecraft/world/gen/structure/MapGenStructureIO/field_143038_b,net/minecraft/world/gen/structure/MapGenStructureIO/field_143038_b
hk/b,net/minecraft/network/play/server/S39PacketPlayerAbilities/field_149117_b,net/minecraft/network/play/server/S39PacketPlayerAbilities/field_149117_b
avi/d,net/minecraft/world/gen/structure/MapGenStructureIO/field_143039_c,net/minecraft/world/gen/structure/MapGenStructureIO/field_143039_c
hk/c,net/minecraft/network/play/server/S39PacketPlayerAbilities/field_149118_c,net/minecraft/network/play/server/S39PacketPlayerAbilities/field_149118_c
hk/d,net/minecraft/network/play/server/S39PacketPlayerAbilities/field_149115_d,net/minecraft/network/play/server/S39PacketPlayerAbilities/field_149115_d
avi/a,net/minecraft/world/gen/structure/MapGenStructureIO/field_151687_a,net/minecraft/world/gen/structure/MapGenStructureIO/logger
hk/e,net/minecraft/network/play/server/S39PacketPlayerAbilities/field_149116_e,net/minecraft/network/play/server/S39PacketPlayerAbilities/field_149116_e
avi/b,net/minecraft/world/gen/structure/MapGenStructureIO/field_143040_a,net/minecraft/world/gen/structure/MapGenStructureIO/field_143040_a
hk/f,net/minecraft/network/play/server/S39PacketPlayerAbilities/field_149114_f,net/minecraft/network/play/server/S39PacketPlayerAbilities/field_149114_f
bea/f,net/minecraft/client/gui/GuiSnooper/field_146603_f,net/minecraft/client/gui/GuiSnooper/field_146603_f
bea/g,net/minecraft/client/gui/GuiSnooper/field_146604_g,net/minecraft/client/gui/GuiSnooper/field_146604_g
gh/a,net/minecraft/network/play/server/S23PacketBlockChange/field_148887_a,net/minecraft/network/play/server/S23PacketBlockChange/field_148887_a
bea/h,net/minecraft/client/gui/GuiSnooper/field_146609_h,net/minecraft/client/gui/GuiSnooper/field_146609_h
bea/a,net/minecraft/client/gui/GuiSnooper/field_146608_a,net/minecraft/client/gui/GuiSnooper/field_146608_a
gh/b,net/minecraft/network/play/server/S23PacketBlockChange/field_148885_b,net/minecraft/network/play/server/S23PacketBlockChange/field_148885_b
abo/a,net/minecraft/item/ItemBucket/field_77876_a,net/minecraft/item/ItemBucket/isFull
gh/c,net/minecraft/network/play/server/S23PacketBlockChange/field_148886_c,net/minecraft/network/play/server/S23PacketBlockChange/field_148886_c
gh/d,net/minecraft/network/play/server/S23PacketBlockChange/field_148883_d,net/minecraft/network/play/server/S23PacketBlockChange/field_148883_d
gh/e,net/minecraft/network/play/server/S23PacketBlockChange/field_148884_e,net/minecraft/network/play/server/S23PacketBlockChange/field_148884_e
bea/i,net/minecraft/client/gui/GuiSnooper/field_146610_i,net/minecraft/client/gui/GuiSnooper/field_146610_i
axo/a,net/minecraft/world/gen/layer/GenLayer$1/field_151684_a,net/minecraft/world/gen/layer/GenLayer$1/field_151684_a
bpa/m,net/minecraft/client/renderer/entity/RenderVillager/field_110906_m,net/minecraft/client/renderer/entity/RenderVillager/butcherVillagerTextures
bpa/l,net/minecraft/client/renderer/entity/RenderVillager/field_110905_l,net/minecraft/client/renderer/entity/RenderVillager/smithVillagerTextures
bpa/g,net/minecraft/client/renderer/entity/RenderVillager/field_110904_g,net/minecraft/client/renderer/entity/RenderVillager/farmerVillagerTextures
bpa/f,net/minecraft/client/renderer/entity/RenderVillager/field_110903_f,net/minecraft/client/renderer/entity/RenderVillager/villagerTextures
gy/a,net/minecraft/network/play/server/S21PacketChunkData$Extracted/field_150282_a,net/minecraft/network/play/server/S21PacketChunkData$Extracted/field_150282_a
bpa/h,net/minecraft/client/renderer/entity/RenderVillager/field_110908_h,net/minecraft/client/renderer/entity/RenderVillager/librarianVillagerTextures
gy/b,net/minecraft/network/play/server/S21PacketChunkData$Extracted/field_150280_b,net/minecraft/network/play/server/S21PacketChunkData$Extracted/field_150280_b
bea/r,net/minecraft/client/gui/GuiSnooper/field_146607_r,net/minecraft/client/gui/GuiSnooper/field_146607_r
gy/c,net/minecraft/network/play/server/S21PacketChunkData$Extracted/field_150281_c,net/minecraft/network/play/server/S21PacketChunkData$Extracted/field_150281_c
bea/s,net/minecraft/client/gui/GuiSnooper/field_146606_s,net/minecraft/client/gui/GuiSnooper/field_146606_s
bpa/k,net/minecraft/client/renderer/entity/RenderVillager/field_110907_k,net/minecraft/client/renderer/entity/RenderVillager/priestVillagerTextures
bea/t,net/minecraft/client/gui/GuiSnooper/field_146605_t,net/minecraft/client/gui/GuiSnooper/field_146605_t
bpa/a,net/minecraft/client/renderer/entity/RenderVillager/field_77056_a,net/minecraft/client/renderer/entity/RenderVillager/villagerModel
boo/f,net/minecraft/client/renderer/entity/RenderPig/field_110887_f,net/minecraft/client/renderer/entity/RenderPig/pigTextures
td/bs,net/minecraft/entity/EntityCreature/field_110178_bs,net/minecraft/entity/EntityCreature/field_110178_bs
td/bt,net/minecraft/entity/EntityCreature/field_110180_bt,net/minecraft/entity/EntityCreature/field_110180_bt
boo/a,net/minecraft/client/renderer/entity/RenderPig/field_110888_a,net/minecraft/client/renderer/entity/RenderPig/saddledPigTextures
td/bm,net/minecraft/entity/EntityCreature/field_70789_a,net/minecraft/entity/EntityCreature/entityToAttack
aal/a,net/minecraft/inventory/ContainerHopper/field_94538_a,net/minecraft/inventory/ContainerHopper/field_94538_a
td/bn,net/minecraft/entity/EntityCreature/field_70787_b,net/minecraft/entity/EntityCreature/hasAttacked
td/bo,net/minecraft/entity/EntityCreature/field_70788_c,net/minecraft/entity/EntityCreature/fleeingTick
td/bp,net/minecraft/entity/EntityCreature/field_70786_d,net/minecraft/entity/EntityCreature/pathToEntity
td/bq,net/minecraft/entity/EntityCreature/field_70775_bC,net/minecraft/entity/EntityCreature/homePosition
td/br,net/minecraft/entity/EntityCreature/field_70772_bD,net/minecraft/entity/EntityCreature/maximumHomeDistance
ain/aD,net/minecraft/world/biome/BiomeGenMutated/field_150611_aD,net/minecraft/world/biome/BiomeGenMutated/baseBiome
rh/e,net/minecraft/inventory/InventoryBasic/field_94051_e,net/minecraft/inventory/InventoryBasic/field_94051_e
rh/b,net/minecraft/inventory/InventoryBasic/field_70481_b,net/minecraft/inventory/InventoryBasic/slotsCount
rh/a,net/minecraft/inventory/InventoryBasic/field_70483_a,net/minecraft/inventory/InventoryBasic/inventoryTitle
rh/d,net/minecraft/inventory/InventoryBasic/field_70480_d,net/minecraft/inventory/InventoryBasic/field_70480_d
rh/c,net/minecraft/inventory/InventoryBasic/field_70482_c,net/minecraft/inventory/InventoryBasic/inventoryContents
net/minecraft/server/MinecraftServer/O,net/minecraft/server/MinecraftServer/field_71296_Q,net/minecraft/server/MinecraftServer/serverIsRunning
net/minecraft/server/MinecraftServer/P,net/minecraft/server/MinecraftServer/field_71299_R,net/minecraft/server/MinecraftServer/timeOfLastWarning
bqu/a,net/minecraft/client/resources/GrassColorReloadListener/field_130078_a,net/minecraft/client/resources/GrassColorReloadListener/field_130078_a
net/minecraft/server/MinecraftServer/Q,net/minecraft/server/MinecraftServer/field_71298_S,net/minecraft/server/MinecraftServer/userMessage
bfu/u,net/minecraft/client/gui/inventory/GuiInventory/field_147048_u,net/minecraft/client/gui/inventory/GuiInventory/xSizeFloat
net/minecraft/server/MinecraftServer/R,net/minecraft/server/MinecraftServer/field_71295_T,net/minecraft/server/MinecraftServer/startProfiling
net/minecraft/server/MinecraftServer/S,net/minecraft/server/MinecraftServer/field_104057_T,net/minecraft/server/MinecraftServer/isGamemodeForced
net/minecraft/server/MinecraftServer/T,net/minecraft/server/MinecraftServer/field_152364_T,net/minecraft/server/MinecraftServer/field_152364_T
net/minecraft/server/MinecraftServer/U,net/minecraft/server/MinecraftServer/field_147143_S,net/minecraft/server/MinecraftServer/field_147143_S
net/minecraft/server/MinecraftServer/V,net/minecraft/server/MinecraftServer/field_147142_T,net/minecraft/server/MinecraftServer/field_147142_T
net/minecraft/server/MinecraftServer/G,net/minecraft/server/MinecraftServer/field_71292_I,net/minecraft/server/MinecraftServer/serverKeyPair
net/minecraft/server/MinecraftServer/H,net/minecraft/server/MinecraftServer/field_71293_J,net/minecraft/server/MinecraftServer/serverOwner
net/minecraft/server/MinecraftServer/I,net/minecraft/server/MinecraftServer/field_71294_K,net/minecraft/server/MinecraftServer/folderName
net/minecraft/server/MinecraftServer/J,net/minecraft/server/MinecraftServer/field_71287_L,net/minecraft/server/MinecraftServer/worldName
net/minecraft/server/MinecraftServer/K,net/minecraft/server/MinecraftServer/field_71288_M,net/minecraft/server/MinecraftServer/isDemo
bfu/v,net/minecraft/client/gui/inventory/GuiInventory/field_147047_v,net/minecraft/client/gui/inventory/GuiInventory/ySizeFloat
net/minecraft/server/MinecraftServer/L,net/minecraft/server/MinecraftServer/field_71289_N,net/minecraft/server/MinecraftServer/enableBonusChest
net/minecraft/server/MinecraftServer/M,net/minecraft/server/MinecraftServer/field_71290_O,net/minecraft/server/MinecraftServer/worldIsBeingDeleted
net/minecraft/server/MinecraftServer/N,net/minecraft/server/MinecraftServer/field_147141_M,net/minecraft/server/MinecraftServer/field_147141_M
net/minecraft/server/MinecraftServer/A,net/minecraft/server/MinecraftServer/field_71323_z,net/minecraft/server/MinecraftServer/canSpawnNPCs
qe/a,net/minecraft/util/LongHashMap$Entry/field_76150_a,net/minecraft/util/LongHashMap$Entry/key
net/minecraft/server/MinecraftServer/B,net/minecraft/server/MinecraftServer/field_71284_A,net/minecraft/server/MinecraftServer/pvpEnabled
qe/b,net/minecraft/util/LongHashMap$Entry/field_76148_b,net/minecraft/util/LongHashMap$Entry/value
net/minecraft/server/MinecraftServer/C,net/minecraft/server/MinecraftServer/field_71285_B,net/minecraft/server/MinecraftServer/allowFlight
net/minecraft/server/MinecraftServer/D,net/minecraft/server/MinecraftServer/field_71286_C,net/minecraft/server/MinecraftServer/motd
net/minecraft/server/MinecraftServer/E,net/minecraft/server/MinecraftServer/field_71280_D,net/minecraft/server/MinecraftServer/buildLimit
net/minecraft/server/MinecraftServer/F,net/minecraft/server/MinecraftServer/field_143008_E,net/minecraft/server/MinecraftServer/field_143008_E
qe/c,net/minecraft/util/LongHashMap$Entry/field_76149_c,net/minecraft/util/LongHashMap$Entry/nextEntry
qe/d,net/minecraft/util/LongHashMap$Entry/field_76147_d,net/minecraft/util/LongHashMap$Entry/hash
acr/a,net/minecraft/item/ItemFireworkCharge/field_150904_a,net/minecraft/item/ItemFireworkCharge/field_150904_a
anr/b,net/minecraft/block/BlockStainedGlassPane/field_150105_b,net/minecraft/block/BlockStainedGlassPane/field_150105_b
fe/b,net/minecraft/util/ChatComponentStyle/field_150263_b,net/minecraft/util/ChatComponentStyle/style
anr/a,net/minecraft/block/BlockStainedGlassPane/field_150106_a,net/minecraft/block/BlockStainedGlassPane/field_150106_a
fe/a,net/minecraft/util/ChatComponentStyle/field_150264_a,net/minecraft/util/ChatComponentStyle/siblings
m/a,net/minecraft/crash/CrashReportCategory$2/field_85063_a,net/minecraft/crash/CrashReportCategory$2/field_85063_a
eb/a,net/minecraft/nbt/JsonToNBT/field_150317_a,net/minecraft/nbt/JsonToNBT/logger
ayr/b,net/minecraft/world/storage/SaveFormatOld/field_151479_b,net/minecraft/world/storage/SaveFormatOld/logger
ayr/a,net/minecraft/world/storage/SaveFormatOld/field_75808_a,net/minecraft/world/storage/SaveFormatOld/savesDirectory
bqd/k,net/minecraft/client/renderer/texture/TextureAtlasSprite/field_147966_k,net/minecraft/client/renderer/texture/TextureAtlasSprite/useAnisotropicFiltering
bqd/j,net/minecraft/client/renderer/texture/TextureAtlasSprite/field_110982_k,net/minecraft/client/renderer/texture/TextureAtlasSprite/animationMetadata
bqd/m,net/minecraft/client/renderer/texture/TextureAtlasSprite/field_110980_m,net/minecraft/client/renderer/texture/TextureAtlasSprite/maxU
bqd/l,net/minecraft/client/renderer/texture/TextureAtlasSprite/field_110979_l,net/minecraft/client/renderer/texture/TextureAtlasSprite/minU
bqd/o,net/minecraft/client/renderer/texture/TextureAtlasSprite/field_110978_o,net/minecraft/client/renderer/texture/TextureAtlasSprite/maxV
bqd/n,net/minecraft/client/renderer/texture/TextureAtlasSprite/field_110977_n,net/minecraft/client/renderer/texture/TextureAtlasSprite/minV
bqd/c,net/minecraft/client/renderer/texture/TextureAtlasSprite/field_110975_c,net/minecraft/client/renderer/texture/TextureAtlasSprite/originX
bqd/b,net/minecraft/client/renderer/texture/TextureAtlasSprite/field_130222_e,net/minecraft/client/renderer/texture/TextureAtlasSprite/rotated
bqd/e,net/minecraft/client/renderer/texture/TextureAtlasSprite/field_130223_c,net/minecraft/client/renderer/texture/TextureAtlasSprite/width
bqd/d,net/minecraft/client/renderer/texture/TextureAtlasSprite/field_110974_d,net/minecraft/client/renderer/texture/TextureAtlasSprite/originY
bfd/o,net/minecraft/client/gui/inventory/GuiBeacon$Button/field_146145_o,net/minecraft/client/gui/inventory/GuiBeacon$Button/field_146145_o
bqd/g,net/minecraft/client/renderer/texture/TextureAtlasSprite/field_110973_g,net/minecraft/client/renderer/texture/TextureAtlasSprite/frameCounter
bfd/p,net/minecraft/client/gui/inventory/GuiBeacon$Button/field_146144_p,net/minecraft/client/gui/inventory/GuiBeacon$Button/field_146144_p
bqd/f,net/minecraft/client/renderer/texture/TextureAtlasSprite/field_130224_d,net/minecraft/client/renderer/texture/TextureAtlasSprite/height
bfd/q,net/minecraft/client/gui/inventory/GuiBeacon$Button/field_146143_q,net/minecraft/client/gui/inventory/GuiBeacon$Button/field_146143_q
bqd/i,net/minecraft/client/renderer/texture/TextureAtlasSprite/field_110984_i,net/minecraft/client/renderer/texture/TextureAtlasSprite/iconName
