notch,srg,mcp
apn/a,net/minecraft/tileentity/TileEntitySkull/field_145908_a,net/minecraft/tileentity/TileEntitySkull/field_145908_a
r/b,net/minecraft/util/ChunkCoordinates/field_71572_b,net/minecraft/util/ChunkCoordinates/posY
r/a,net/minecraft/util/ChunkCoordinates/field_71574_a,net/minecraft/util/ChunkCoordinates/posX
r/c,net/minecraft/util/ChunkCoordinates/field_71573_c,net/minecraft/util/ChunkCoordinates/posZ
bug/f,net/minecraft/client/stream/ChatController$ChatState/$VALUES,net/minecraft/client/stream/ChatController$ChatState/$VALUES
bug/e,net/minecraft/client/stream/ChatController$ChatState/Disconnected,net/minecraft/client/stream/ChatController$ChatState/Disconnected
a/A,net/minecraft/util/EnumChatFormatting/field_96303_A,net/minecraft/util/EnumChatFormatting/fancyStyling
bug/d,net/minecraft/client/stream/ChatController$ChatState/Connected,net/minecraft/client/stream/ChatController$ChatState/Connected
bug/c,net/minecraft/client/stream/ChatController$ChatState/Connecting,net/minecraft/client/stream/ChatController$ChatState/Connecting
a/C,net/minecraft/util/EnumChatFormatting/$VALUES,net/minecraft/util/EnumChatFormatting/$VALUES
a/B,net/minecraft/util/EnumChatFormatting/field_96304_B,net/minecraft/util/EnumChatFormatting/controlString
eg/c,net/minecraft/network/NettyEncryptionTranslator/field_150506_c,net/minecraft/network/NettyEncryptionTranslator/field_150506_c
eg/b,net/minecraft/network/NettyEncryptionTranslator/field_150505_b,net/minecraft/network/NettyEncryptionTranslator/field_150505_b
eg/a,net/minecraft/network/NettyEncryptionTranslator/field_150507_a,net/minecraft/network/NettyEncryptionTranslator/field_150507_a
bug/b,net/minecraft/client/stream/ChatController$ChatState/Initialized,net/minecraft/client/stream/ChatController$ChatState/Initialized
bug/a,net/minecraft/client/stream/ChatController$ChatState/Uninitialized,net/minecraft/client/stream/ChatController$ChatState/Uninitialized
ard/h,net/minecraft/world/gen/feature/WorldGenBigTree/field_76514_h,net/minecraft/world/gen/feature/WorldGenBigTree/branchDensity
ard/i,net/minecraft/world/gen/feature/WorldGenBigTree/field_76515_i,net/minecraft/world/gen/feature/WorldGenBigTree/branchSlope
ard/j,net/minecraft/world/gen/feature/WorldGenBigTree/field_76512_j,net/minecraft/world/gen/feature/WorldGenBigTree/scaleWidth
ard/k,net/minecraft/world/gen/feature/WorldGenBigTree/field_76513_k,net/minecraft/world/gen/feature/WorldGenBigTree/leafDensity
ard/d,net/minecraft/world/gen/feature/WorldGenBigTree/field_76503_d,net/minecraft/world/gen/feature/WorldGenBigTree/basePos
ard/e,net/minecraft/world/gen/feature/WorldGenBigTree/field_76504_e,net/minecraft/world/gen/feature/WorldGenBigTree/heightLimit
ard/f,net/minecraft/world/gen/feature/WorldGenBigTree/field_76501_f,net/minecraft/world/gen/feature/WorldGenBigTree/height
ard/g,net/minecraft/world/gen/feature/WorldGenBigTree/field_76502_g,net/minecraft/world/gen/feature/WorldGenBigTree/heightAttenuation
ard/a,net/minecraft/world/gen/feature/WorldGenBigTree/field_76507_a,net/minecraft/world/gen/feature/WorldGenBigTree/otherCoordPairs
ex/a,net/minecraft/network/NetworkStatistics$Tracker/field_152490_a,net/minecraft/network/NetworkStatistics$Tracker/field_152490_a
ard/b,net/minecraft/world/gen/feature/WorldGenBigTree/field_76505_b,net/minecraft/world/gen/feature/WorldGenBigTree/rand
ard/c,net/minecraft/world/gen/feature/WorldGenBigTree/field_76506_c,net/minecraft/world/gen/feature/WorldGenBigTree/worldObj
a/a,net/minecraft/util/EnumChatFormatting/BLACK,net/minecraft/util/EnumChatFormatting/BLACK
a/c,net/minecraft/util/EnumChatFormatting/DARK_GREEN,net/minecraft/util/EnumChatFormatting/DARK_GREEN
a/b,net/minecraft/util/EnumChatFormatting/DARK_BLUE,net/minecraft/util/EnumChatFormatting/DARK_BLUE
a/e,net/minecraft/util/EnumChatFormatting/DARK_RED,net/minecraft/util/EnumChatFormatting/DARK_RED
a/d,net/minecraft/util/EnumChatFormatting/DARK_AQUA,net/minecraft/util/EnumChatFormatting/DARK_AQUA
a/g,net/minecraft/util/EnumChatFormatting/GOLD,net/minecraft/util/EnumChatFormatting/GOLD
a/f,net/minecraft/util/EnumChatFormatting/DARK_PURPLE,net/minecraft/util/EnumChatFormatting/DARK_PURPLE
a/i,net/minecraft/util/EnumChatFormatting/DARK_GRAY,net/minecraft/util/EnumChatFormatting/DARK_GRAY
a/h,net/minecraft/util/EnumChatFormatting/GRAY,net/minecraft/util/EnumChatFormatting/GRAY
